library,sys_time_constant_median,sys_time_constant_average,sys_time_constant_std,sys_time_constant_max,sys_time_solo_len,sys_time_solo_median,sys_time_solo_average,sys_time_solo_std,sys_time_solo_max,sys_time_full_median,sys_time_full_average,sys_time_full_std,sys_time_full_max
pydoc-markdown,0.096,0.09766666666666667,0.015567059238447492,0.114,3.0,0.099,0.10233333333333335,0.005773502691896261,0.109,0.32799999999999996,0.3436666666666666,0.03156474826976028,0.38
pydocstyle,0.08900000000000001,0.08366666666666668,0.012858201014657272,0.09300000000000001,3.0,0.081,0.08566666666666667,0.012662279942148386,0.1,0.13,0.13599999999999998,0.0255342906696074,0.16399999999999998
pydoe,0.092,0.08600000000000001,0.019697715603592205,0.102,3.0,0.20199999999999999,0.19133333333333333,0.02948445918332797,0.214,0.652,0.6456666666666667,0.03493326972004388,0.677
pydot,0.1,0.09233333333333334,0.015947831618540912,0.10300000000000001,3.0,0.102,0.104,0.00529150262212918,0.11,0.079,0.08633333333333333,0.02871120571019847,0.11800000000000001
pydot-ng,0.10400000000000001,0.108,0.007810249675906644,0.11699999999999999,3.0,0.095,0.08733333333333333,0.01871719352182194,0.10099999999999999,0.133,0.11166666666666668,0.03869539162915054,0.135
pydotenv,0.08199999999999999,0.09799999999999998,0.03395585369269928,0.13699999999999998,3.0,0.19,0.20200000000000004,0.024331050121192875,0.23,0.193,0.19066666666666665,0.019604421270043478,0.209
pydotplus,0.105,0.09300000000000001,0.041327956639543646,0.127,3.0,0.18600000000000003,0.19466666666666668,0.01767295485574874,0.215,0.20600000000000002,0.20333333333333334,0.013203534880225597,0.215
pydra,0.087,0.09066666666666667,0.012897028081435407,0.105,3.0,0.09699999999999999,0.102,0.0317962261911693,0.136,0.07400000000000001,0.08566666666666667,0.022854612955229253,0.11199999999999999
pydrive,0.114,0.10533333333333333,0.016772994167212167,0.11599999999999999,3.0,0.17300000000000001,0.17566666666666667,0.01913983629327413,0.196,0.504,0.48500000000000004,0.056929781309961125,0.53
pydub,0.091,0.08900000000000001,0.022068076490713906,0.11,3.0,0.095,0.09366666666666668,0.014047538337136989,0.107,0.11900000000000001,0.111,0.015620499351813302,0.121
pydynamic,0.095,0.09733333333333334,0.009712534856222314,0.10800000000000001,3.0,0.096,0.09966666666666668,0.008144527815247075,0.109,0.8759999999999999,0.8796666666666667,0.02768272626265941,0.909
pyecharts,0.096,0.09166666666666667,0.011150485789118496,0.1,3.0,0.115,0.11433333333333334,0.0011547005383792516,0.115,0.155,0.15033333333333335,0.017473789896108215,0.165
pyecharts-extras,0.08199999999999999,0.082,0.002999999999999999,0.085,3.0,0.106,0.106,0.016999999999999998,0.12300000000000001,0.163,0.15733333333333333,0.009814954576223642,0.163
