,real,real,real,real,sys,sys,sys,user,user,user
,average,std,max,len,average,std,max,average,std,max
library,,,,,,,,,,
cellrank,43.358999999999995,,43.358999999999995,1.0,3.65,,3.65,37.551,,37.551
celluloid,5.973000000000001,0.1847863631332136,6.185,4.0,0.439,0.02810693864511042,0.47600000000000003,5.34575,0.15701671885503157,5.506
cenpy,14.949000000000002,,14.949000000000002,1.0,1.261,,1.261,12.783,,12.783
certifi,0.9025,0.06118006211176967,0.968,4.0,0.09974999999999999,0.01602862023589887,0.11599999999999999,0.7645000000000001,0.0590395347768482,0.818
certipy,2.50525,0.028964058187116466,2.539,4.0,0.19825000000000004,0.01910279211703532,0.217,2.18525,0.00846069343099786,2.1959999999999997
cffi,1.48675,0.0260943799824151,1.51,4.0,0.1315,0.01948503699423397,0.151,1.27975,0.03334041591422237,1.301
cffi_magic,1.615,,1.615,1.0,0.12300000000000001,,0.12300000000000001,1.364,,1.364
cftime,3.30125,0.053506230166838524,3.353,4.0,0.37299999999999994,0.07097887009526144,0.414,2.8655000000000004,0.09322910847297994,2.9760000000000004
chainer,6.067,,6.067,1.0,0.622,,0.622,5.362,,5.362
chaospy,6.325,,6.325,1.0,0.6920000000000001,,0.6920000000000001,5.5489999999999995,,5.5489999999999995
chardet,1.07725,0.04140350226732033,1.124,4.0,0.12525,0.037668510279365526,0.177,0.9149999999999999,0.05737014322217897,1.001
chart-studio,9.040000000000001,0.065289100672828,9.097000000000001,4.0,1.2915,0.06855897704409934,1.349,7.527249999999999,0.030739496851227864,7.553999999999999
chart_studio,9.418,0.19037156650438503,9.585,4.0,1.31775,0.08344409306036386,1.4380000000000002,7.8805,0.12433422698517099,8.003
check-manifest,1.7519999999999998,,1.7519999999999998,1.0,0.095,,0.095,1.514,,1.514
chembl_webresource_client,3.93525,0.041676332212260234,3.984,4.0,0.37975,0.045485345625450264,0.441,3.34575,0.06474758682761844,3.4019999999999997
chord,0.9209999999999999,0.0757495874576225,1.02,4.0,0.092,0.01790716802475106,0.10800000000000001,0.7755,0.033271609519228265,0.812
click,1.3760000000000001,0.04062019202317991,1.4240000000000002,4.0,0.1245,0.013178264933847206,0.133,1.1780000000000002,0.03956429366655413,1.224
click-plugins,1.43525,0.05733163757182126,1.485,4.0,0.11525,0.022455511572885615,0.139,1.2345,0.06090703298196897,1.295
click-spinner,0.8915,0.06487680633323434,0.985,4.0,0.09675,0.008421203397773181,0.106,0.7450000000000001,0.03892728263484793,0.789
cligj,1.45825,0.055918839997505944,1.5219999999999998,4.0,0.11075,0.00994568583189046,0.122,1.2502499999999999,0.05220711956556635,1.307
clinical-sectionizer,8.54,,8.54,1.0,0.695,,0.695,7.412000000000001,,7.412000000000001
cloudpickle,0.86775,0.04438749823993232,0.9129999999999999,4.0,0.09025,0.012311918344975055,0.099,0.7505,0.043147035433117154,0.79
cluster,0.928,0.040751278098565984,0.958,4.0,0.08299999999999999,0.018797162906495576,0.106,0.78375,0.030923292192132436,0.818
clustergrammer2,12.304749999999999,0.21510985565519666,12.595999999999998,4.0,0.9572499999999999,0.050155591246971984,1.004,10.47775,0.1414057401003697,10.583
clyent,1.57,,1.57,1.0,0.162,,0.162,1.3719999999999999,,1.3719999999999999
cm,1.577,,1.577,1.0,0.161,,0.161,1.364,,1.364
cmake,2.28775,0.0742220766798307,2.362,4.0,0.28025,0.028686524130097518,0.312,1.962,0.0700333254006023,2.026
cmdstanpy,6.84725,0.3334080332965398,7.206,4.0,0.505,0.07612270795673698,0.575,6.11375,0.24119476915278823,6.284
cmocean,0.9469999999999998,0.018000000000000016,0.97,4.0,0.095,0.011604596790352804,0.11,0.80525,0.005678908345800239,0.813
cobra,21.768500000000003,0.536601962973177,22.465999999999998,4.0,2.02875,0.14366250960729687,2.205,19.06675,0.3450684714661713,19.541
coffea,31.60925,0.4444752524044501,32.096,4.0,2.2775,0.06694525126300341,2.3569999999999998,27.750500000000002,0.24465554016480887,28.024
collatex,2.801,0.042980615785878806,2.8569999999999998,4.0,0.25525,0.01813605984404185,0.276,2.3282499999999997,0.019771612647092617,2.35
colorama,0.9045000000000001,0.03104298095651683,0.938,4.0,0.0985,0.019139836293274117,0.12,0.77825,0.047661130214602915,0.8190000000000001
colorcet,1.621,,1.621,1.0,0.156,,0.156,1.3459999999999999,,1.3459999999999999
colorlog,0.895,0.04479583313955287,0.934,4.0,0.09425,0.013275918047351747,0.11199999999999999,0.7695000000000001,0.048349422609444526,0.8170000000000001
colorlover,0.867,0.049792904447655335,0.925,4.0,0.10025,0.022126530078919588,0.124,0.73825,0.058511394901620176,0.812
colormath,4.94775,0.09076480595473117,5.083,4.0,0.513,0.04839421453025145,0.545,4.37125,0.08800899575232841,4.497
colour,0.9105000000000001,0.022308443842336146,0.9359999999999999,4.0,0.09675,0.010874281585465783,0.10800000000000001,0.7735,0.014011899704655774,0.7829999999999999
