library,user_time_constant_median,user_time_constant_average,user_time_constant_std,user_time_constant_max,user_time_full_median,user_time_full_average,user_time_full_std,user_time_full_max,user_time_solo_len,user_time_solo_median,user_time_solo_average,user_time_solo_std,user_time_solo_max
rt,0.698,0.698,,0.698,1.558,1.558,,1.558,1.0,0.802,0.802,,0.802
rtree,0.679,0.6819999999999999,0.03353605025441523,0.723,0.8260000000000001,0.8225,0.015264337522473808,0.8370000000000001,4.0,0.8315,0.82975,0.020271079563424006,0.848
ruamel-ordereddict,1.505,1.505,,1.505,1.462,1.462,,1.462,1.0,1.354,1.354,,1.354
ruamel-yaml,0.6839999999999999,0.67975,0.01985572965166474,0.698,1.506,1.46725,0.14581809444189933,1.5819999999999999,4.0,1.4845,1.47975,0.04216930163045134,1.521
ruamel-yaml-clib,0.698,0.6832499999999999,0.03873306081372859,0.711,0.8105,0.7925,0.04371498598878877,0.821,4.0,0.8225,0.814,0.04120679555607301,0.852
ruamel.yaml,0.6575,0.6585,0.036555893277737485,0.6940000000000001,1.493,1.48575,0.04759114063212468,1.535,4.0,1.4595,1.4645000000000001,0.050612910079017005,1.53
ruamel.yaml.clib,0.6755,0.6762499999999999,0.015173990905493526,0.695,0.839,0.8302499999999999,0.027825348155953042,0.853,4.0,0.7955000000000001,0.798,0.062102066524928674,0.866
rundown,0.727,0.727,,0.727,8.309,8.309,,8.309,1.0,0.758,0.758,,0.758
runestone,0.972,0.972,,0.972,8.139,8.139,,8.139,1.0,1.768,1.768,,1.768
runipy,1.063,1.0425,0.09841917157410603,1.13,9.157,9.21375,0.22950580965776535,9.533999999999999,4.0,2.2824999999999998,2.2824999999999998,0.04962862077471016,2.3409999999999997
runway-python,0.953,0.9627142857142859,0.03388566208941616,1.014,11.370999999999999,11.361142857142857,0.173489124127353,11.593,7.0,1.1640000000000001,1.1844285714285714,0.05767973977881985,1.274
ruptures,0.6915,0.6819999999999999,0.02362202362203542,0.698,5.515,5.50675,0.05432234040122586,5.564,4.0,0.975,0.9804999999999999,0.059022594543671626,1.053
rusenttokenize,0.675,0.6757500000000001,0.032263240176192275,0.716,0.7170000000000001,0.72075,0.03497022543059547,0.763,4.0,0.7125,0.7160000000000001,0.04499629614386796,0.774
russian-tagsets,0.677,0.6578571428571428,0.028398524441882345,0.688,1.44,1.4267142857142854,0.07247922526654174,1.4980000000000002,7.0,1.4069999999999998,1.3998571428571427,0.060009523053785874,1.464
rviz,0.6779999999999999,0.6655714285714286,0.06795306503476535,0.774,0.606,0.6104285714285714,0.031837384434325745,0.66,7.0,0.6579999999999999,0.6548571428571428,0.04087553698496848,0.7240000000000001
rx,0.653,0.6561428571428571,0.033567983612506784,0.7040000000000001,0.958,0.9277142857142857,0.06916818701714028,1.008,7.0,0.94,0.9485714285714286,0.06299962206991706,1.051
s34me,0.77,0.7661428571428571,0.043464271041199536,0.823,18.382,18.12885714285714,0.943071299632469,19.16,7.0,1.514,1.535857142857143,0.046741946084962314,1.5930000000000002
s3fs,0.8145,0.8140000000000001,0.025755258362775833,0.8420000000000001,6.7905,6.78275,0.1938063896435479,6.966,4.0,0.9329999999999999,0.9349999999999999,0.06099726769837048,0.995
s3pypi,0.7475,0.744,0.015769168230019823,0.759,4.3335,4.194999999999999,0.42536807590603243,4.537,4.0,0.826,0.83375,0.03268409399080843,0.88
s3transfer,0.7344999999999999,0.7250000000000001,0.037549966711037164,0.759,2.698,2.7124999999999995,0.06753517601961212,2.7969999999999997,4.0,0.863,0.8605,0.018574175621006644,0.879
