library,real_time_solo_len,real_time_solo_median,real_time_solo_average,real_time_solo_std,real_time_solo_max,real_time_full_median,real_time_full_average,real_time_full_std,real_time_full_max,real_time_constant_median,real_time_constant_average,real_time_constant_std,real_time_constant_max
pypgrest,7.0,0.861,0.8737142857142857,0.048023307833156316,0.948,0.9159999999999999,0.8967142857142857,0.06075007348614013,0.977,0.777,0.7728571428571429,0.03175651414239591,0.8170000000000001
pyphen,4.0,0.978,0.986,0.04205551886098498,1.037,1.008,1.00975,0.039559027625393685,1.056,0.767,0.7725,0.05157195620360612,0.83
pyphi,1.0,2.269,2.269,,2.269,10.81,10.81,,10.81,2.145,2.145,,2.145
pypif,1.0,1.6840000000000002,1.6840000000000002,,1.6840000000000002,4.095,4.095,,4.095,0.691,0.691,,0.691
pypif-sdk,7.0,1.71,1.7045714285714284,0.06935622332772817,1.817,6.84,6.8629999999999995,0.13098982148752372,7.104,0.846,0.8290000000000001,0.029137604568666896,0.857
pyping,4.0,1.598,1.5935000000000001,0.014059397805975387,1.605,1.63,1.6075000000000002,0.06955812916786465,1.6640000000000001,0.7585,0.7555000000000001,0.019226717521892908,0.772
pypiwin32,1.0,1.598,1.598,,1.598,1.6340000000000001,1.6340000000000001,,1.6340000000000001,1.666,1.666,,1.666
pyplotz,7.0,1.5319999999999998,1.5602857142857143,0.06649489776344825,1.6669999999999998,1.567,1.577,0.03803507153492241,1.636,0.774,0.7757142857142857,0.024479340171624196,0.8029999999999999
pypng,4.0,1.7269999999999999,1.74325,0.055733742024019844,1.8219999999999998,1.75,1.76125,0.03637192140465872,1.814,0.7775,0.77,0.046654760385909905,0.8170000000000001
pyportfolioopt,1.0,9.705,9.705,,9.705,9.95,9.95,,9.95,9.578,9.578,,9.578
pypower,4.0,1.212,1.19475,0.0792312017663075,1.262,1.1909999999999998,1.2165,0.057210138961551214,1.3019999999999998,0.7695,0.7717499999999999,0.05395291156802078,0.8320000000000001
pyppeteer,4.0,1.077,1.0682500000000001,0.02849999999999999,1.092,2.1254999999999997,2.08825,0.08505831333071844,2.14,0.853,0.847,0.03154890383727037,0.8759999999999999
pyprimesieve,1.0,1.589,1.589,,1.589,1.524,1.524,,1.524,1.555,1.555,,1.555
pyprind,1.0,0.907,0.907,,0.907,0.879,0.879,,0.879,0.8240000000000001,0.8240000000000001,,0.8240000000000001
pyprism,1.0,3.444,3.444,,3.444,10.033,10.033,,10.033,3.1630000000000003,3.1630000000000003,,3.1630000000000003
pyprob,4.0,1.2585000000000002,1.259,0.003162277660168316,1.263,48.647999999999996,62.744,32.38626638973172,110.82,0.8905000000000001,0.89425,0.029792336822299398,0.929
pyproj,4.0,1.371,1.38875,0.0650096146735234,1.482,1.4245,1.4417499999999999,0.07489715170374184,1.5419999999999998,0.7384999999999999,0.73925,0.05110365283747665,0.7979999999999999
pyprojroot,4.0,0.8345,0.8427499999999999,0.024797513316190956,0.879,0.915,0.9055,0.03460732099811636,0.9359999999999999,0.7925,0.79725,0.01212091855705108,0.815
pypubsub,7.0,0.97,0.9532857142857143,0.0385214844197983,0.997,0.955,0.943,0.04690415759823427,0.9890000000000001,0.778,0.7774285714285715,0.02789179773611552,0.8009999999999999
pypums,4.0,1.07,1.0535,0.045763886781318465,1.0859999999999999,9.868,9.87425,0.0694760150459616,9.958,0.9235,0.9219999999999999,0.01283225103661342,0.9359999999999999
pypwt,1.0,0.912,0.912,,0.912,6.575,6.575,,6.575,0.8220000000000001,0.8220000000000001,,0.8220000000000001
pypyodbc,1.0,2.66,2.66,,2.66,2.5810000000000004,2.5810000000000004,,2.5810000000000004,0.742,0.742,,0.742
pyqrcode,4.0,1.6245,1.6182499999999997,0.048787805853512174,1.662,1.581,1.57975,0.06860697243478003,1.642,0.7404999999999999,0.7462500000000001,0.02486463351831266,0.7809999999999999
pyqt,7.0,0.746,0.743857142857143,0.04014319606703224,0.7879999999999999,0.78,0.7701428571428571,0.04328752157157445,0.8170000000000001,0.775,0.7727142857142858,0.03151568014874652,0.816
pyqt5,4.0,1.4865,1.47975,0.053847779279496265,1.5290000000000001,3.872,3.85675,0.0847127499258525,3.9360000000000004,0.7995000000000001,0.808,0.035336477847497286,0.858
pyqt5-sip,4.0,1.0075,1.00925,0.016879474715365557,1.028,0.964,0.97125,0.030103986446980684,1.013,0.776,0.77325,0.020039544239661054,0.7929999999999999
pyqtchart,4.0,1.0070000000000001,1.01175,0.015326991442115046,1.034,4.1305,4.18275,0.14689083247999718,4.3919999999999995,0.8235,0.82375,0.02921614850272592,0.8540000000000001
pyqtgraph,4.0,1.384,1.3815,0.0928816451189362,1.4669999999999999,3.596,3.6294999999999997,0.0970961722554841,3.772,0.7885,0.7927500000000001,0.03209750769140808,0.83
pyqtwebengine,4.0,0.9495,0.96125,0.028952547383606825,1.004,6.1754999999999995,6.33475,0.7083574309626463,7.266,0.8095,0.807,0.015253414918196729,0.8220000000000001
pyquaternion,1.0,1.021,1.021,,1.021,3.236,3.236,,3.236,0.7829999999999999,0.7829999999999999,,0.7829999999999999
